,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,WS2M,District,MOH,Latitude,Longitude
2013-01-01,26.4,25.52,27.88,1.99,2.9,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-02,25.81,25.34,26.9,9.23,2.77,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-03,25.66,25.17,26.6,26.81,3.04,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-04,24.8,23.76,25.92,35.02,3.9,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-05,25.02,23.67,26.23,12.74,3.69,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-06,25.73,25.12,26.58,6.75,2.98,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-07,25.86,25.05,26.91,66.7,2.81,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-08,26.3,25.24,27.76,13.5,1.02,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-09,26.01,25.46,26.91,28.91,1.5,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-10,26.3,25.69,27.08,45.81,2.55,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-11,26.25,25.21,27.31,25.37,3.71,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-12,25.77,24.87,27.09,0.75,3.61,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-13,25.02,23.84,26.57,0.01,3.27,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-14,24.81,23.4,26.55,0.01,3.1,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-15,25.28,24.13,26.81,0.03,3.09,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-16,25.5,24.38,27.01,0.01,3.56,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-17,25.2,24.04,26.97,0.03,2.85,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-18,25.13,23.87,27.0,0.02,2.66,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-19,25.48,23.74,27.6,0.05,2.7,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-20,25.87,24.62,27.58,5.01,2.73,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-21,26.22,25.36,27.73,0.59,3.41,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-22,26.21,25.27,27.84,6.08,3.21,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-23,26.02,25.29,27.31,37.29,2.87,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-24,25.84,25.33,26.54,34.62,3.17,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-25,25.81,24.99,27.18,22.21,3.25,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-26,26.1,25.16,27.44,0.65,3.37,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-27,26.08,25.2,27.55,0.12,3.35,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-28,25.72,24.8,27.15,0.0,3.28,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-29,25.56,24.31,27.31,0.01,3.19,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-30,25.56,24.26,27.42,0.0,3.23,Ampara,Pottuvil,6.8732418,81.8300476
2013-01-31,25.48,24.52,27.18,0.5,3.16,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-01,26.02,24.58,27.83,2.07,3.43,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-02,26.22,25.22,27.81,1.26,3.51,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-03,26.06,24.94,27.87,1.43,3.11,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-04,26.34,24.93,28.24,20.24,2.64,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-05,26.13,25.4,27.2,9.4,2.35,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-06,26.11,25.23,27.31,7.57,2.49,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-07,26.09,25.13,27.63,6.82,2.59,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-08,25.89,25.02,27.28,1.77,1.52,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-09,26.35,25.08,28.24,1.48,2.31,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-10,26.18,25.02,27.83,3.33,3.03,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-11,25.46,24.83,26.29,26.46,3.21,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-12,25.26,24.75,25.9,36.13,3.11,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-13,26.33,25.62,27.23,50.29,2.72,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-14,26.18,25.3,27.42,25.48,1.62,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-15,25.8,24.75,27.51,0.89,2.1,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-16,26.82,24.9,29.38,3.67,1.5,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-17,27.0,25.96,29.19,6.76,1.42,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-18,26.83,25.66,28.58,7.95,1.72,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-19,26.9,25.69,28.76,3.85,1.9,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-20,26.62,25.57,28.58,0.39,2.81,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-21,26.23,24.89,28.18,0.0,2.94,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-22,26.2,25.04,28.1,0.0,3.43,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-23,25.96,24.49,27.97,0.0,2.76,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-24,26.13,24.45,28.3,0.0,2.59,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-25,26.12,24.75,28.27,0.0,2.47,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-26,25.97,24.55,27.94,0.0,2.53,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-27,26.25,24.43,28.44,0.0,2.52,Ampara,Pottuvil,6.8732418,81.8300476
2013-02-28,26.54,25.4,28.21,0.0,2.85,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-01,26.58,25.19,28.57,0.01,2.7,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-02,26.79,25.06,28.85,0.27,2.82,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-03,26.73,25.4,28.56,8.67,3.26,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-04,25.43,24.8,26.01,19.99,3.03,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-05,26.94,25.72,28.66,11.91,2.82,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-06,27.39,26.13,29.15,4.98,2.52,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-07,27.06,26.52,28.02,5.06,2.61,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-08,27.24,26.29,28.76,9.17,2.66,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-09,27.12,26.09,28.93,6.83,2.17,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-10,27.32,26.11,29.15,1.5,2.11,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-11,27.53,26.24,29.58,1.96,2.06,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-12,27.24,25.91,29.25,3.11,2.1,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-13,27.13,25.7,29.22,4.62,2.14,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-14,27.32,26.23,29.0,4.87,2.18,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-15,27.23,26.11,29.2,11.13,2.35,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-16,27.38,26.04,29.13,4.17,2.5,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-17,27.51,26.23,29.49,0.15,2.26,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-18,27.37,25.88,29.33,0.26,2.13,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-19,27.65,26.02,29.67,0.01,2.05,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-20,27.83,26.81,29.23,0.02,2.66,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-21,27.77,26.18,29.79,0.01,2.23,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-22,27.19,25.52,29.22,0.01,2.06,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-23,27.56,26.07,29.4,6.21,1.55,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-24,27.55,26.51,29.16,10.56,2.35,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-25,27.32,26.49,28.16,8.14,1.35,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-26,27.99,26.63,29.98,4.97,1.22,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-27,28.4,27.22,30.16,6.47,1.24,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-28,28.09,27.65,28.76,4.41,1.01,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-29,28.55,27.29,30.74,3.08,1.69,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-30,28.56,27.29,30.81,0.22,1.55,Ampara,Pottuvil,6.8732418,81.8300476
2013-03-31,28.19,26.94,30.08,0.04,1.31,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-01,27.84,26.47,29.49,0.01,1.56,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-02,28.0,27.01,30.15,0.04,1.11,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-03,28.07,26.31,30.21,0.0,1.02,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-04,27.97,26.78,29.65,0.48,1.31,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-05,28.31,26.54,30.86,1.63,2.23,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-06,28.23,26.65,30.13,1.27,1.8,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-07,28.58,26.7,31.02,1.96,1.75,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-08,28.22,26.6,30.43,3.86,1.65,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-09,28.11,26.55,30.41,2.72,1.69,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-10,27.49,26.51,29.16,10.34,1.91,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-11,28.25,26.33,30.66,15.63,1.29,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-12,28.24,27.37,29.6,13.83,1.73,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-13,28.31,27.27,29.84,36.72,1.93,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-14,28.57,27.05,30.72,9.41,1.61,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-15,28.55,27.37,30.14,24.85,1.91,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-16,28.6,27.25,30.1,3.71,1.56,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-17,29.01,27.24,31.08,10.29,1.79,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-18,29.18,27.17,31.91,1.77,1.8,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-19,29.17,27.42,31.66,1.09,1.48,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-20,29.06,27.5,31.34,1.41,2.22,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-21,28.56,27.06,30.66,2.27,2.22,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-22,28.29,26.76,30.21,5.92,2.24,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-23,27.83,26.88,28.91,8.29,1.51,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-24,28.12,27.07,29.55,8.6,1.49,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-25,28.76,27.51,30.67,10.06,1.52,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-26,28.84,27.66,30.87,0.97,1.36,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-27,28.71,27.17,30.97,2.12,1.45,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-28,28.61,27.17,30.61,8.11,1.61,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-29,28.8,27.6,30.46,2.03,1.59,Ampara,Pottuvil,6.8732418,81.8300476
2013-04-30,28.43,27.52,29.64,4.14,1.91,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-01,28.15,26.83,30.04,7.78,2.49,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-02,27.47,26.7,28.64,12.02,1.95,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-03,28.34,26.71,30.83,6.51,2.15,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-04,27.46,26.75,28.37,5.13,2.32,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-05,27.44,26.4,28.74,1.91,2.19,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-06,27.54,26.43,29.16,7.39,1.55,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-07,27.83,26.27,29.4,3.56,1.72,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-08,27.8,26.59,28.73,7.8,2.02,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-09,28.44,26.9,30.26,4.14,1.91,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-10,28.62,27.37,30.48,1.29,1.63,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-11,27.93,26.9,29.78,3.2,1.72,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-12,28.67,26.41,31.69,9.51,2.31,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-13,27.89,26.38,29.89,19.93,3.58,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-14,27.46,26.39,28.81,11.48,2.61,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-15,28.18,26.54,30.67,1.64,2.44,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-16,28.2,26.45,30.34,0.78,1.7,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-17,28.71,26.84,31.16,2.35,1.38,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-18,28.57,27.25,30.68,2.89,2.04,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-19,27.89,27.21,28.91,9.05,3.02,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-20,27.64,26.46,28.86,6.33,3.94,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-21,27.58,26.41,29.25,2.43,3.36,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-22,27.88,26.72,29.74,1.36,3.63,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-23,28.21,26.93,30.33,0.63,3.43,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-24,28.45,26.78,31.08,0.76,3.43,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-25,28.22,26.85,30.61,0.77,3.19,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-26,27.95,26.46,30.33,0.59,2.9,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-27,27.92,26.45,30.1,0.96,3.21,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-28,28.01,26.48,30.51,0.95,2.68,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-29,27.86,26.41,29.71,1.01,3.16,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-30,27.85,26.89,29.27,3.01,3.8,Ampara,Pottuvil,6.8732418,81.8300476
2013-05-31,27.21,26.05,28.49,10.89,3.68,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-01,27.23,25.77,29.35,4.55,2.88,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-02,27.89,25.99,30.8,3.01,2.58,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-03,27.56,25.79,30.05,1.71,2.84,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-04,28.05,26.2,31.04,2.02,2.72,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-05,27.45,26.16,29.54,2.49,2.75,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-06,27.72,26.31,29.54,1.16,3.38,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-07,27.73,26.23,30.09,4.06,3.13,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-08,26.64,25.47,28.04,3.54,3.33,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-09,27.51,25.11,30.75,1.04,2.49,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-10,27.94,25.58,31.17,0.35,2.5,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-11,27.86,25.71,30.86,2.85,2.58,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-12,26.8,25.17,29.27,2.64,3.49,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-13,27.27,25.15,30.26,3.27,3.72,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-14,27.93,25.76,30.8,0.74,3.43,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-15,27.73,25.87,30.62,2.83,3.13,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-16,27.53,25.5,30.43,2.56,2.82,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-17,26.8,25.32,28.73,3.63,2.88,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-18,27.67,25.36,30.54,1.99,2.3,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-19,27.74,25.49,30.79,3.37,2.42,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-20,27.91,25.55,31.06,0.79,2.43,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-21,27.61,25.94,30.29,2.4,2.8,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-22,27.11,25.37,30.1,2.04,2.79,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-23,27.61,25.58,30.6,2.35,2.99,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-24,27.74,25.77,30.62,1.32,3.13,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-25,27.73,26.01,30.39,2.66,3.09,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-26,27.35,25.66,29.96,2.77,2.52,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-27,27.5,25.91,30.28,3.48,2.54,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-28,26.96,25.8,28.67,11.55,2.86,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-29,27.21,25.23,29.97,8.16,2.58,Ampara,Pottuvil,6.8732418,81.8300476
2013-06-30,27.03,25.7,29.21,6.9,2.5,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-01,27.19,25.29,29.97,2.2,2.4,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-02,27.12,25.38,29.86,1.89,3.15,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-03,27.26,25.41,29.98,1.55,3.47,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-04,27.19,25.48,30.1,0.88,2.73,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-05,27.53,25.23,30.6,2.9,2.6,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-06,27.19,25.52,29.63,19.83,2.01,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-07,27.07,25.6,29.67,10.04,2.58,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-08,26.78,25.29,28.28,2.35,2.27,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-09,27.23,25.74,29.66,1.03,2.49,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-10,26.98,25.23,29.86,5.74,2.34,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-11,27.56,25.31,30.71,0.25,2.27,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-12,27.87,25.6,31.15,0.26,2.64,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-13,28.0,25.69,31.03,0.42,2.18,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-14,27.73,25.82,30.43,0.62,2.55,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-15,27.61,25.95,30.27,2.0,3.31,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-16,27.21,25.95,29.38,2.78,3.58,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-17,27.11,25.44,29.36,1.73,3.29,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-18,27.34,25.65,30.1,1.54,2.95,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-19,27.18,25.6,29.51,0.44,3.15,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-20,27.19,25.62,29.63,0.63,2.81,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-21,27.76,25.59,30.93,0.89,2.38,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-22,27.11,25.62,29.88,2.74,2.75,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-23,26.92,25.21,29.9,3.12,3.07,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-24,27.03,25.31,29.58,4.24,3.31,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-25,27.1,25.42,29.94,4.18,2.95,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-26,27.11,25.21,29.94,3.86,2.82,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-27,27.4,25.52,30.29,1.15,2.74,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-28,27.71,25.63,30.64,3.73,2.06,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-29,27.6,25.65,30.45,1.12,2.25,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-30,27.83,25.69,30.99,0.13,2.86,Ampara,Pottuvil,6.8732418,81.8300476
2013-07-31,27.93,25.7,31.25,0.14,3.24,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-01,27.8,25.57,31.08,0.1,2.79,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-02,27.99,25.5,31.55,1.1,2.88,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-03,27.96,26.07,30.94,0.53,2.12,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-04,27.39,25.66,30.05,5.51,2.25,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-05,27.18,25.36,30.11,2.37,2.23,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-06,27.52,24.92,31.03,1.53,2.44,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-07,28.33,25.4,32.42,0.19,1.89,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-08,28.21,25.39,32.05,1.51,2.33,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-09,27.44,25.66,29.94,5.77,1.81,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-10,28.13,25.42,31.62,0.84,1.78,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-11,28.33,25.82,31.72,0.81,2.07,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-12,28.58,25.84,31.9,1.51,1.69,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-13,28.26,26.12,31.19,0.25,1.86,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-14,28.34,25.86,31.58,0.24,1.76,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-15,28.32,25.63,31.79,0.15,2.51,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-16,28.01,26.04,31.31,0.05,3.71,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-17,28.07,25.7,31.43,0.5,3.48,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-18,27.91,25.76,31.29,0.71,3.51,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-19,28.23,25.54,31.82,0.13,3.57,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-20,28.33,25.88,32.05,0.07,3.1,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-21,28.17,25.88,31.68,0.6,2.87,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-22,28.33,25.95,31.72,0.33,2.34,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-23,28.43,25.88,32.31,0.04,2.78,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-24,28.94,26.06,32.84,0.32,2.54,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-25,28.73,25.88,32.63,0.17,1.92,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-26,28.73,26.14,32.24,1.02,1.78,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-27,28.47,26.27,31.45,8.99,2.06,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-28,27.96,26.19,30.54,5.96,2.82,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-29,27.92,25.84,30.8,3.5,2.42,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-30,27.32,25.96,29.24,6.27,2.15,Ampara,Pottuvil,6.8732418,81.8300476
2013-08-31,27.64,25.62,30.55,2.3,3.64,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-01,27.4,25.96,29.85,17.69,3.35,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-02,26.61,25.44,28.28,9.51,3.25,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-03,27.12,25.54,29.71,7.18,3.28,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-04,27.44,25.26,30.5,1.84,2.91,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-05,27.74,25.33,31.14,3.79,2.72,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-06,27.27,25.21,30.62,6.66,2.03,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-07,27.26,25.39,29.98,2.26,1.7,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-08,27.6,25.35,30.3,3.09,3.13,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-09,27.73,25.91,30.89,3.11,2.97,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-10,27.44,25.66,30.54,7.49,3.07,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-11,27.31,25.86,29.96,8.19,3.68,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-12,27.78,25.86,30.97,4.7,3.83,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-13,27.73,25.61,30.88,1.7,3.14,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-14,28.02,25.4,31.5,3.15,2.93,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-15,27.94,25.73,30.94,1.5,3.36,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-16,28.29,26.28,31.21,1.2,3.72,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-17,27.8,25.99,30.68,8.08,3.3,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-18,27.88,25.66,31.3,2.05,3.01,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-19,28.11,25.56,31.59,0.41,3.02,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-20,28.2,26.22,31.22,0.82,3.15,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-21,28.0,26.2,30.71,0.32,3.04,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-22,28.6,25.93,32.55,0.04,2.5,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-23,28.51,25.73,32.64,0.01,1.53,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-24,28.65,25.69,32.38,0.0,2.18,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-25,28.46,25.34,32.09,0.0,2.43,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-26,28.6,26.05,31.91,0.0,2.52,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-27,28.65,26.24,31.95,0.0,2.45,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-28,28.95,26.13,32.9,0.02,2.53,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-29,28.75,25.76,32.66,0.06,2.57,Ampara,Pottuvil,6.8732418,81.8300476
2013-09-30,28.75,25.3,33.32,0.03,2.05,Ampara,Pottuvil,6.8732418,81.8300476
